                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.3236,                 0.7374,                 1.5818,                 1.4132,                0.86126,                 1.6305,                0.88077,                0.92073,                0.93852,                0.58429,                 1.2593,                0.82862,                 1.7048,                 1.2713,                 1.1762,                 1.7328,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.3236,                0.72441,                 1.5641,                 1.4026,                0.82699,                 1.6007,                 0.9223,                0.92683,                0.95379,                 0.5668,                 1.3582,                0.60261,                 1.7869,                  1.412,                0.56493,                 1.8423,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.3038,                0.72007,                 1.5684,                 1.3965,                0.80524,                 1.6133,                0.93745,                0.89634,                0.95617,                 0.5824,                 1.3547,                0.60486,                 1.7966,                 1.3643,                0.57078,                 1.8041,               0.008911,               0.008911,               0.008911
                     58,                 1.3164,                0.72541,                 1.5826,                 1.3947,                0.81596,                 1.6179,                0.89346,                0.95732,                0.95011,                 0.5677,                  1.333,                0.62673,                 1.8239,                 1.3778,                0.61907,                 1.8672,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.2943,                0.67852,                 1.5418,                 1.3857,                0.77587,                 1.5887,                 0.9279,                0.94175,                 0.9725,                0.60476,                 1.2869,                0.71301,                 1.7197,                 1.3225,                0.73258,                 1.7448,              0.0088714,              0.0088714,              0.0088714
                     60,                   1.27,                0.69352,                 1.5345,                  1.357,                0.79159,                 1.5817,                0.89611,                0.94672,                0.95611,                0.61553,                 1.2663,                0.61187,                 1.6942,                 1.3015,                 0.6091,                 1.7313,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.2701,                0.68767,                 1.5185,                 1.3522,                0.76355,                 1.5599,                0.90761,                0.90854,                0.94695,                0.59348,                 1.2516,                0.56137,                 1.7063,                 1.3155,                0.57062,                  1.759,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.2722,                0.70434,                 1.5275,                  1.363,                0.81635,                 1.5781,                0.88757,                0.96273,                0.96989,                0.60081,                 1.3324,                 0.7235,                 1.7931,                 1.3427,                0.79624,                 1.8177,               0.008812,               0.008812,               0.008812
                     63,                 1.2679,                0.69012,                 1.5207,                 1.3607,                0.79741,                 1.5714,                0.85508,                0.90854,                0.93864,                0.57208,                 1.3201,                 0.7673,                 1.7805,                 1.3517,                 1.0259,                 1.8086,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.2513,                0.69293,                 1.5241,                 1.3325,                0.80724,                 1.5724,                0.91553,                0.92525,                0.96515,                0.56283,                 1.3665,                0.66825,                 1.7815,                 1.4023,                0.85832,                 1.8342,              0.0087724,              0.0087724,              0.0087724
